;Name;Overview;Platform;Year_of_Release;Genre;Publisher;Global_players;Critic_Score;User_Score;Developer;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
10;Red Dead Redemption;La acción del videojuego se sitúa en los estados ficticios de New Austin. Nuevo Paraíso y West Elizabeth. Desde su lanzamiento. Red Dead Redemption ha;PS3;2010.0;Action;Take-Two Interactive;6.49;95.0;8.8;Rockstar San Diego;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
11;Assassin's Creed III;Assassin's Creed III es un videojuego de acción-aventura de la franquicia Assassin's Creed. desarrollado y distribuido por Ubisoft. lanzado el 30 de octubre;PS3;2012.0;Action;Ubisoft;6.45;85.0;6.9;Ubisoft;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;M
12;Kingdom Hearts;Kingdom Hearts es el primer juego de la serie. y fue lanzado en Japón el 28 de marzo de 2002 para PlayStation 2. Esta era la primera vez que Nomura ocupaba el;PS2;2002.0;Role-Playing;Sony Computer Entertainment;6.4;85.0;8.8;SquareSoft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ET
13;Driver;"Device driver. traducido como ""controlador de dispositivo"" o ""manejador de dispositivo"". es el elemento software utilizado en diversos sistemas operativos.";PS;1999.0;Action;GT Interactive;6.27;87.0;8.1;Reflections Interactive;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
14;Metal Gear Solid 2: Sons of Liberty;Personajes[editar] · Solid Snake - El héroe legendario de la saga Metal Gear. que ha salvado al mundo tres veces de la amenaza de este mismo. · Raiden - Miembro;PS2;2001.0;Action;Konami Digital Entertainment;6.05;96.0;8.7;KCEJ;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;M
15;The Last of Us;The Last of Us es un videojuego de acción-aventura y horror de supervivencia desarrollado por la compañía estadounidense Naughty Dog y distribuido por Sony;PS3;2013.0;Action;Sony Computer Entertainment Europe;5.87;95.0;9.1;Naughty Dog;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
16;Resident Evil 2;Resident Evil 2 —cuyo título original es Biohazard 2 (バイオハザード2. Baiohazādo Tsū. «Peligro biológico 2»)— es un videojuego japonés del género Horror;PS;1998.0;Action;Virgin Interactive;5.82;89.0;9.2;Capcom;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
17;Destiny;"Destiny es un videojuego de disparos en primera persona. en forma de multijugador masivo en línea en un mundo abierto de ficción especulativa.
 Modos de juego: Un jugador. ‎multijugador‎
 Desarrolladora(s): Bungie; ‎High Moon Studios‎
 Fecha(s) de lanzamiento: WW 9 de septiembre";PS4;2014.0;Shooter;Activision;5.64;76.0;6.1;Bungie Software;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;M
18;Cooking Mama;Cooking Mama (クッキング ママ. Kukkingu Mama) es una serie de videojuegos de cocina desarrollados por Cooking Mama Ltd. para Nintendo DS. Nintendo 3DS. Wii.;DS;2006.0;Simulation;505 Games;5.63;67.0;7.2;Taito Corporation;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
19;Assassin's Creed II;Assassin's Creed II es un videojuego de acción-aventura de ficción histórica. desarrollado por Ubisoft Montreal. El juego llegó mundialmente a las tiendas;PS3;2009.0;Action;Ubisoft;5.55;91.0;8.6;Ubisoft Montreal;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;M
20;Assassin's Creed;Assassin's Creed: Rogue es un videojuego de acción-aventura y sigilo de ficción histórica. desarrollado por Ubisoft Soft y publicado por Ubisoft. Fue lanzado en;X360;2007.0;Adventure;Ubisoft;5.54;81.0;7.7;Ubisoft Montreal;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;M
21;Final Fantasy XIII;Final Fantasy XIII es el título estrella de la colección Fabula Nova Crystallis de Final Fantasy. la cual incluye también los juegos Final Fantasy XV (;PS3;2009.0;Role-Playing;Square Enix;5.33;83.0;7.3;Square Enix;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
22;Final Fantasy IX;Final Fantasy IX (ファイナルファンタジーIX. Fainaru Fantajī nain) es un videojuego de rol realizado por la empresa japonesa Squaresoft en 2000.;PS;2000.0;Role-Playing;SquareSoft;5.3;94.0;8.9;SquareSoft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;T
23;Professor Layton and the Curious Village;El profesor Layton y la villa misteriosa (レイトン教授と不思議な町. Reiton-kyōju to Fushigi;DS;2007.0;Puzzle;Nintendo;5.19;85.0;8.6;Level 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
24;Resident Evil;Biohazard (バイオハザード. Baiohazādo. 'riesgo biológico') —nombre con que se conoce en Japón—. rebautizado en Estados Unidos y Europa como Resident Evil;PS;1996.0;Action;Virgin Interactive;5.05;91.0;9.0;Capcom;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
25;Grand Theft Auto: Vice City Stories;Grand Theft Auto: Vice City Stories es el décimo juego de la saga Grand Theft Auto. Es un videojuego diseñado para la consola PSP y lanzado en PlayStation 2;PSP;2006.0;Action;Take-Two Interactive;5.03;86.0;8.0;Rockstar Leeds;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;M
26;Tony Hawk's Pro Skater;Tony Hawk's Pro Skater (lanzado en algunas partes de Europa como Tony Hawk's Skateboarding) Es el primer juego de una de las mayores sagas de los;PS;1999.0;Sports;Activision;5.02;92.0;9.2;Neversoft Entertainment;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;T
27;Link's Crossbow Training;Link's Crossbow Training. conocido en Japón como Link's Bowgun Training (リンクのボウガントレーニング. Rinku no Bōgan Torēningu) es un videojuego creado por;Wii;2007.0;Shooter;Nintendo;4.98;68.0;7.1;Nintendo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
28;God of War III;"God of War III es un videojuego de acción en tercera persona desarrollado por SCE Santa Monica Studio y publicado por Sony Computer Entertainment.
 Modos de juego: Un jugador
 Motor: Santa Monica's God of War III Engine
 Director(es): Stig Asmussen
 Idioma(s): inglés
 ‎Argumento · ‎Modo de juego · ‎Desarrollo · ‎Lanzamiento";PS3;2010.0;Action;Sony Computer Entertainment;4.8;92.0;8.7;SCE Santa Monica;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
29;Crash Team Racing;"Compra Crash Team Racing: Nitro Fueled para PS4. ¡Crash Bandicoot regresa al asiento del conductor!
 USD 39.99";PS;1999.0;Racing;Sony Computer Entertainment;4.79;88.0;9.0;Naughty Dog;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ET
30;Tomb Raider;"Tomb Raider es la novena entrega de la saga. que da un reinicio total a la saga Tomb Raider y a Lara Croft. En esta entrega hay muertes pertubadoras y fuertes.
 Primer videojuego: Tomb Raider; (‎1996‎)‎
 Fecha(s) de lanzamiento: 25 de octubre de 19";PS;1996.0;Action;Eidos Interactive;4.63;91.0;8.6;Core Design Ltd.;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
31;Madden NFL 2005;Madden NFL 2005 es un videojuego de simulación de fútbol americano basado en la NFL que fue desarrollado por EA Tiburon. junto con Exient Entertainment y;PS2;2004.0;Sports;Electronic Arts;4.53;91.0;7.9;EA Tiburon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
32;Spider-Man: The Movie;Spider-Man (conocida como El Hombre Araña en Hispanoamérica) es una película de superhéroes estadounidense de 2002 basada en el personaje del mismo nombre;PS2;2002.0;Action;Activision;4.48;76.0;7.9;Treyarch;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;T
33;God of War;God of War (en español Dios de la Guerra) es una serie de videojuegos en 3ª. persona creada por SCE Santa Monica Studio y distribuida por Sony Computer;PS2;2005.0;Action;Sony Computer Entertainment;4.45;94.0;8.9;SCE Santa Monica;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
34;Michael Jackson: The Experience;"Michael Jackson: The Experience es un videojuego de música. baile y ritmo basado en la música y las canciones de Michael Jackson.
 Formato(s): Blu-ray Disc; ‎DVD‎; ‎Wii Optical Disc‎;";Wii;2010.0;Misc;Ubisoft;4.36;56.0;8.3;Ubisoft Paris;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
35;Daxter;Jak and Daxter es una serie de videojuegos creada por Naughty Dog. Hay tres juegos de la serie principal y tres spin-off. aunque estos también se consideran;PSP;2006.0;Platform;Sony Computer Entertainment;4.21;85.0;8.7;Ready at Dawn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ET
36;Madden NFL 2003;Madden NFL 2003 is an American football simulation video game based on the NFL that was developed by EA Tiburon and Budcat Creations and published by EA;PS2;2002.0;Sports;Electronic Arts;4.14;95.0;7.7;EA Sports;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
37;Half-Life;El título del juego Half-Life y sus expansiones hacen referencia a términos científicos. Half-Life (en español: Periodo de semidesintegración o semivida). es el;PC;1997.0;Shooter;Vivendi Games;4.12;96.0;9.1;Valve Software;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
38;God of War II;Lanzado por primera vez para la consola PlayStation 2 el 13 de marzo de 2007. es la segunda entrega de la serie God of War. la sexta cronológicamente y la;PS2;2007.0;Action;Sony Computer Entertainment;4.07;93.0;8.9;SCE Santa Monica;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
39;Carnival Games;List of carnival games[edit] · Ball and Bucket Toss · Balloon And Dart · Basketball · Big Six wheel · Bingo · Birthday · Bottle Stand · Bulldozer;Wii;2007.0;Misc;Take-Two Interactive;4.05;56.0;6.0;Cat Daddy Games;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ET
40;Watch Dogs;"Watch Dogs (estilizado como WATCH_DOGS) es un videojuego de mundo abierto y acción-aventura desarrollado por Ubisoft Montreal y publicado por Ubisoft.
 Modos de juego: Un jugador; ‎Multijugador‎
 Motor: Disrupt
 Fecha(s) de lanzamiento: Windows. ‎PS4‎. ‎PS3‎.";PS4;2014.0;Action;Ubisoft;4.05;80.0;6.3;Ubisoft Montreal;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;M
41;Professor Layton and the Diabolical Box;Professor Layton and the Diabolical Box is an adventure/puzzle game. The player controls the movements of the eponymous Professor Layton and his young assistant;DS;2007.0;Puzzle;Nintendo;3.94;84.0;8.8;Level 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
42;Tom Clancy's The Division;Tom Clancy's The Division;PS4;2016.0;Shooter;Ubisoft;3.8;80.0;7.0;Massive Entertainment;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
43;Harry Potter and the Sorcerer's Stone;Harry Potter and the Philosopher's Stone is a 2001 fantasy film directed by Chris Columbus and distributed by Warner Bros. Pictures. based on J. K.;PS;2001.0;Action;Electronic Arts;3.73;64.0;7.5;Argonaut Games;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;M
44;Star Wars: Battlefront;Star Wars Battlefront es un juego de acción y disparos en primera o tercera persona a elección del jugador. igual que en sus predecesores. Los jugadores podrán;PS2;2004.0;Shooter;LucasArts;3.61;82.0;8.7;Pandemic Studios;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;T
45;The Simpsons: Road Rage;The Simpsons Road Rage es un videojuego publicado en el año 2001 por la compañía Electronic Arts y THQ (versión para Game Boy Advance. desarrollado por;PS2;2001.0;Racing;Electronic Arts;3.61;64.0;7.7;Fox Interactive;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;M
46;Star Wars: Battlefront II;"Star Wars Battlefront II es un videojuego de disparos en tercera y primera persona. el cual tiene lugar en el universo de Star Wars.
 Modos de juego: Un jugador; ‎Multijugador‎
 Distribuidora(s): Electronic Arts
 Formato(s): Disco compacto; ‎Distribución digital‎
 Género(s): FPS
 ‎Modo de juego · ‎Multijugador · ‎Planetas y bandos · ‎Planetas";PS2;2005.0;Shooter;LucasArts;3.59;84.0;9.0;Pandemic Studios;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;T
47;Borderlands;Borderlands se desarrolla en el planeta Pandora. Atraídas por las aparentemente vastos yacimientos minerales. muchas naves colonizadores de la Dahl Corporation;X360;2009.0;Shooter;Take-Two Interactive;3.44;84.0;8.2;Gearbox Software;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
48;Far Cry 3;Far Cry 3 (estilizado como FARCRY3) es un juego de acción y supervivencia en el trópico. creado por Ubisoft Montreal y Massive Studios que se lanzó el 29 de;PS3;2012.0;Shooter;Ubisoft;3.35;90.0;8.5;Ubisoft Montreal;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;M
49;Professor Layton and the Unwound Future;As with previous Professor Layton games. Unwound Future is an adventure game where the player solves puzzles offered by local citizens to progress the story;DS;2008.0;Puzzle;Nintendo;3.26;86.0;9.2;Level 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;E
50;God of War: Chains of Olympus;"God of War: Chains of Olympus (en español. ""Cadenas del Olimpo"") es un videojuego para PSP. desarrollado por Ready at Dawn Studios. Es una precuela de God";PSP;2008.0;Action;Sony Computer Entertainment;3.18;91.0;8.6;Ready at Dawn;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;M
51;L.A. Noire;L.A. Noire es un videojuego desarrollado por Team Bondi y distribuido por Rockstar Games. Anunciado en un principio sólo para PlayStation 3. Rockstar reveló;PS3;2011.0;Adventure;Take-Two Interactive;3.17;89.0;7.7;Team Bondi;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;M
52;Spider-Man;Spider-Man. traducido en ocasiones como Hombre Araña. es un personaje creado por los estadounidenses Stan Lee y Steve Ditko. e introducido en el cómic;PS;2000.0;Action;Activision;3.13;87.0;9.0;Neversoft Entertainment;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;T
